neighbourhood_cleansed,Avg_Rental_Rate,Listings_Count
"District 21",201.32432432432432,38
"District 5",190.27083333333334,48
"District 17",180.9512195121951,42
"District 19",177.92857142857142,118
"District 15",162.31372549019608,53
